date,platform,event_id,entry_id,hits,pushes,mult,stake,pnl,bankroll,pair_success,pair_fail,pair_push
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,1,4,0,0.25,100.0,-75.0,9925.0,3,0,0
2025-01-12,underdog,58b46c9397011f730367d56e32ac7dfd,2,5,0,2.6,100.0,160.0,10085.0,2,1,0
2025-01-12,underdog,e1bcff9bf41c7fede8e3f8eb12b0270c,3,4,0,0.25,100.0,-75.0,10010.0,1,2,0
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,4,2,0,0.0,100.0,-100.0,9910.0,1,2,0
2025-01-20,underdog,b736883206d52bd2d7f89ed1d3c89f62,5,1,0,0.0,100.0,-100.0,9810.0,2,1,0
2025-01-25,underdog,240a84b2dddf3a224173e70c23b1d624,6,1,0,0.0,100.0,-100.0,9710.0,2,1,0
